UID,DAY_OF_WEEK,CRS_DEP_TIME,TAXI_OUT,TAXI_IN,ACTUAL_ELAPSED_TIME,DISTANCE,DISTANCE_GROUP,AIRLINE_ID,FL_DATE,ORIGIN_CITY_MARKET_ID,DEST_CITY_MARKET_ID,FL_NUM,CARRIER,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,FIRST_DEP_TIME,ARR_DELAY
1376,6,1030,21,13,148,861,4,19805,2017-04-15,34100,31454,1746,AA,PHL,"Philadelphia, PA",PA,MCO,"Orlando, FL",FL,,-8
1377,1,715,15,4,69,283,2,19393,2017-04-10,30852,30529,246,WN,BWI,"Baltimore, MD",MD,BDL,"Hartford, CT",CT,,-10
1378,3,1801,14,6,107,651,3,19977,2017-04-26,32457,30466,781,UA,SFO,"San Francisco, CA",CA,PHX,"Phoenix, AZ",AZ,,-9
1379,4,955,18,9,278,"1,969",8,19790,2017-04-06,34614,31703,1724,DL,SLC,"Salt Lake City, UT",UT,EWR,"Newark, NJ",NJ,,13
1380,2,1950,16,7,167,"1,107",5,19930,2017-04-11,30559,30466,622,AS,SEA,"Seattle, WA",WA,PHX,"Phoenix, AZ",AZ,,1
1383,7,1049,15,7,111,640,3,19790,2017-04-02,31986,30397,1367,DL,GRR,"Grand Rapids, MI",MI,ATL,"Atlanta, GA",GA,,-19
1385,3,1515,12,4,158,990,4,19393,2017-04-12,31454,30977,1123,WN,MCO,"Orlando, FL",FL,MDW,"Chicago, IL",IL,,-12
1386,7,1900,12,4,81,419,2,20366,2017-04-23,31703,30647,5138,EV,LGA,"New York, NY",NY,CLE,"Cleveland, OH",OH,,185
1387,4,2025,17,27,174,954,4,19790,2017-04-13,30559,32575,1279,DL,SEA,"Seattle, WA",WA,LAX,"Los Angeles, CA",CA,,9
1388,7,1540,14,8,147,912,4,19805,2017-04-16,31453,31057,2658,AA,IAH,"Houston, TX",TX,CLT,"Charlotte, NC",NC,,-8
1389,2,2240,10,6,49,228,1,19393,2017-04-11,30977,31295,949,WN,MDW,"Chicago, IL",IL,DTW,"Detroit, MI",MI,,16
1391,6,1700,29,10,208,"1,250",6,20304,2017-04-29,30977,34614,3079,OO,ORD,"Chicago, IL",IL,SLC,"Salt Lake City, UT",UT,,13
1392,6,1010,9,7,99,533,3,19393,2017-04-08,33198,30325,2398,WN,MCI,"Kansas City, MO",MO,DEN,"Denver, CO",CO,,3
1393,1,1010,21,4,67,204,1,19930,2017-04-24,30073,30107,55,AS,SCC,"Deadhorse, AK",AK,BRW,"Barrow, AK",AK,,4
1394,3,1330,25,3,114,639,3,19977,2017-04-05,30436,30325,472,UA,TUS,"Tucson, AZ",AZ,DEN,"Denver, CO",CO,,-10
1395,7,1003,38,5,99,370,2,19805,2017-04-02,30466,32575,447,AA,PHX,"Phoenix, AZ",AZ,LAX,"Los Angeles, CA",CA,,17
1396,6,1020,12,4,45,152,1,20366,2017-04-29,30397,35412,5154,EV,ATL,"Atlanta, GA",GA,TYS,"Knoxville, TN",TN,,-18
1397,7,1015,7,5,154,"1,204",5,19393,2017-04-09,30257,32467,3932,WN,ALB,"Albany, NY",NY,FLL,"Fort Lauderdale, FL",FL,,-27
1398,2,915,17,7,204,"1,590",7,19393,2017-04-04,32211,32337,1011,WN,LAS,"Las Vegas, NV",NV,IND,"Indianapolis, IN",IN,,-9
1399,6,1020,16,4,162,972,4,20409,2017-04-01,31454,31703,94,B6,MCO,"Orlando, FL",FL,HPN,"White Plains, NY",NY,,-4
1401,4,1100,53,8,145,544,3,20366,2017-04-13,31703,31057,5308,EV,LGA,"New York, NY",NY,CLT,"Charlotte, NC",NC,,-1
1402,7,700,20,9,144,850,4,20304,2017-04-09,32575,30325,5202,OO,BUR,"Burbank, CA",CA,DEN,"Denver, CO",CO,,-13
1404,6,1110,12,9,156,946,4,20366,2017-04-08,33244,31703,4265,EV,MEM,"Memphis, TN",TN,EWR,"Newark, NJ",NJ,,-16
1405,4,2135,13,9,95,550,3,19930,2017-04-27,34057,32457,384,AS,PDX,"Portland, OR",OR,SFO,"San Francisco, CA",CA,,-19
1406,3,717,15,6,199,"1,158",5,19805,2017-04-05,34524,30194,2314,AA,RIC,"Richmond, VA",VA,DFW,"Dallas/Fort Worth, TX",TX,,-15
1407,6,850,28,6,96,419,2,20366,2017-04-01,30647,31703,5116,EV,CLE,"Cleveland, OH",OH,LGA,"New York, NY",NY,,182
1408,3,1340,12,7,187,"1,218",5,19393,2017-04-12,30852,31453,4007,WN,DCA,"Washington, DC",VA,HOU,"Houston, TX",TX,,-18
1409,5,1630,16,3,62,285,2,20366,2017-04-21,30194,30185,2788,EV,DFW,"Dallas/Fort Worth, TX",TX,AEX,"Alexandria, LA",LA,,-9
1410,6,1000,13,12,59,157,1,20304,2017-04-01,31823,30977,5112,OO,FWA,"Fort Wayne, IN",IN,ORD,"Chicago, IL",IL,,-12
1411,3,1630,18,9,149,888,4,19977,2017-04-05,30977,30325,1100,UA,ORD,"Chicago, IL",IL,DEN,"Denver, CO",CO,,-12
1412,7,1931,14,6,42,100,1,19690,2017-04-09,32134,33830,176,HA,HNL,"Honolulu, HI",HI,OGG,"Kahului, HI",HI,,0
1413,2,1625,12,12,104,545,3,19790,2017-04-18,34027,30397,768,DL,PBI,"West Palm Beach/Palm Beach, FL",FL,ATL,"Atlanta, GA",GA,,-20
1414,7,950,14,7,157,"1,087",5,19790,2017-04-23,34614,33214,696,DL,SLC,"Salt Lake City, UT",UT,SAT,"San Antonio, TX",TX,,-10
1415,5,1115,10,6,132,980,4,19805,2017-04-21,31650,34100,471,AA,MSP,"Minneapolis, MN",MN,PHL,"Philadelphia, PA",PA,,-23
1417,1,1310,23,5,101,414,2,21171,2017-04-17,32211,32457,251,VX,LAS,"Las Vegas, NV",NV,SFO,"San Francisco, CA",CA,,63
1418,7,1305,17,10,281,"2,419",10,19977,2017-04-02,32457,30852,727,UA,SFO,"San Francisco, CA",CA,IAD,"Washington, DC",VA,,14
1419,3,1400,33,6,198,"1,197",5,20409,2017-04-26,34027,30721,222,B6,PBI,"West Palm Beach/Palm Beach, FL",FL,BOS,"Boston, MA",MA,,50
1420,6,1055,11,3,606,"4,502",11,19790,2017-04-08,30397,32134,837,DL,ATL,"Atlanta, GA",GA,HNL,"Honolulu, HI",HI,,-5
1421,3,2125,11,4,179,"1,237",5,20409,2017-04-19,32467,30721,2170,B6,FLL,"Fort Lauderdale, FL",FL,BOS,"Boston, MA",MA,,-4
1422,6,1020,12,6,85,472,2,19393,2017-04-22,30325,33316,2456,WN,DEN,"Denver, CO",CO,OMA,"Omaha, NE",NE,,5
1423,2,840,17,3,97,528,3,19393,2017-04-25,30397,30647,1918,WN,ATL,"Atlanta, GA",GA,CAK,"Akron, OH",OH,,-7
1424,3,1210,18,11,122,606,3,19790,2017-04-26,30977,30397,972,DL,ORD,"Chicago, IL",IL,ATL,"Atlanta, GA",GA,,-6
1425,5,1452,17,4,156,"1,065",5,20409,2017-04-14,31703,32467,205,B6,EWR,"Newark, NJ",NJ,FLL,"Fort Lauderdale, FL",FL,,-9
1426,3,1254,120,10,234,575,3,19805,2017-04-05,31123,31057,1843,AA,STL,"St. Louis, MO",MO,CLT,"Charlotte, NC",NC,,126
1427,5,1500,16,6,174,"1,107",5,19805,2017-04-07,30559,30466,1355,AA,SEA,"Seattle, WA",WA,PHX,"Phoenix, AZ",AZ,,39
1428,6,940,10,7,184,"1,107",5,19930,2017-04-01,30466,30559,625,AS,PHX,"Phoenix, AZ",AZ,SEA,"Seattle, WA",WA,,8
1429,7,1043,11,3,80,447,2,19977,2017-04-02,32457,33570,1900,UA,SFO,"San Francisco, CA",CA,SAN,"San Diego, CA",CA,,67
1430,5,1125,10,5,184,"1,476",6,20436,2017-04-28,30325,30852,718,F9,DEN,"Denver, CO",CO,DCA,"Washington, DC",VA,,-38
1431,4,1045,6,7,60,271,2,19393,2017-04-27,33044,30977,105,WN,SDF,"Louisville, KY",KY,MDW,"Chicago, IL",IL,,86
1432,5,935,18,11,180,"1,195",5,20304,2017-04-07,34614,31453,4984,OO,SLC,"Salt Lake City, UT",UT,IAH,"Houston, TX",TX,,-11
1433,6,1225,14,13,234,"1,481",6,19790,2017-04-01,31295,34614,1882,DL,DTW,"Detroit, MI",MI,SLC,"Salt Lake City, UT",UT,,-5
1435,4,1355,10,9,65,236,1,19393,2017-04-27,32211,32575,1409,WN,LAS,"Las Vegas, NV",NV,LAX,"Los Angeles, CA",CA,,-1
1436,5,1616,11,5,232,"1,482",6,20304,2017-04-21,33198,34057,3383,OO,MCI,"Kansas City, MO",MO,PDX,"Portland, OR",OR,,-12
1437,5,1145,20,3,219,"1,448",6,19790,2017-04-28,30559,30299,2855,DL,SEA,"Seattle, WA",WA,ANC,"Anchorage, AK",AK,,-7
1438,5,852,12,7,107,577,3,19790,2017-04-07,30397,30852,2525,DL,ATL,"Atlanta, GA",GA,BWI,"Baltimore, MD",MD,,202
1439,2,1615,10,8,221,"1,452",6,19977,2017-04-11,30852,30325,542,UA,IAD,"Washington, DC",VA,DEN,"Denver, CO",CO,,-22
1440,7,1725,7,4,162,"1,147",5,19393,2017-04-02,31986,31714,4301,WN,GRR,"Grand Rapids, MI",MI,RSW,"Fort Myers, FL",FL,,-18
1441,4,750,24,6,286,"1,916",8,19805,2017-04-20,31057,32211,658,AA,CLT,"Charlotte, NC",NC,LAS,"Las Vegas, NV",NV,,-10
1442,4,820,18,10,84,343,2,20304,2017-04-27,30647,30977,2919,OO,CAK,"Akron, OH",OH,ORD,"Chicago, IL",IL,,-18
1443,5,2205,13,6,93,446,2,19393,2017-04-28,33570,32457,1534,WN,SAN,"San Diego, CA",CA,OAK,"Oakland, CA",CA,,2
1444,2,1352,9,7,136,894,4,20416,2017-04-11,30647,33195,273,NK,CAK,"Akron, OH",OH,TPA,"Tampa, FL",FL,,-12
1446,2,515,10,6,67,257,2,19805,2017-04-18,34524,31057,1953,AA,RIC,"Richmond, VA",VA,CLT,"Charlotte, NC",NC,,-15
1448,6,2230,19,4,42,86,1,20304,2017-04-15,32457,33192,5096,OO,SFO,"San Francisco, CA",CA,SMF,"Sacramento, CA",CA,,-18
1449,6,1600,9,4,50,226,1,19393,2017-04-01,32211,32575,5280,WN,LAS,"Las Vegas, NV",NV,SNA,"Santa Ana, CA",CA,,-17
1450,4,1600,9,5,110,668,3,19393,2017-04-06,30977,34100,1479,WN,MDW,"Chicago, IL",IL,PHL,"Philadelphia, PA",PA,,12
1451,7,1825,22,4,159,"1,061",5,19805,2017-04-02,30194,34492,1207,AA,DFW,"Dallas/Fort Worth, TX",TX,RDU,"Raleigh/Durham, NC",NC,,43
1452,6,2225,19,12,192,"1,235",5,19805,2017-04-15,30194,32575,454,AA,DFW,"Dallas/Fort Worth, TX",TX,LAX,"Los Angeles, CA",CA,,-10
1453,5,645,17,6,81,342,2,20304,2017-04-21,32457,32575,3400,OO,SJC,"San Jose, CA",CA,SNA,"Santa Ana, CA",CA,,-9
1454,7,1925,9,15,113,500,3,19805,2017-04-23,31295,31057,2038,AA,DTW,"Detroit, MI",MI,CLT,"Charlotte, NC",NC,,3
1455,2,1920,7,15,74,338,2,19393,2017-04-25,32575,30466,1428,WN,SNA,"Santa Ana, CA",CA,PHX,"Phoenix, AZ",AZ,,13
1456,4,530,14,5,158,"1,142",5,19790,2017-04-20,30713,31650,2889,DL,BOI,"Boise, ID",ID,MSP,"Minneapolis, MN",MN,,-11
1457,4,1450,12,16,331,"2,704",11,20409,2017-04-20,32457,30721,534,B6,SFO,"San Francisco, CA",CA,BOS,"Boston, MA",MA,,-15
1458,7,715,9,6,190,"1,476",6,20436,2017-04-23,30325,30852,722,F9,DEN,"Denver, CO",CO,DCA,"Washington, DC",VA,,-12
1459,3,1950,14,5,158,"1,096",5,19790,2017-04-12,32467,31703,2168,DL,MIA,"Miami, FL",FL,LGA,"New York, NY",NY,,2
1460,3,700,28,3,131,733,3,20304,2017-04-26,30977,31703,5697,OO,ORD,"Chicago, IL",IL,LGA,"New York, NY",NY,,13
1461,1,1122,13,3,139,874,4,19790,2017-04-24,30397,33214,1790,DL,ATL,"Atlanta, GA",GA,SAT,"San Antonio, TX",TX,,-21
1462,6,2010,17,3,109,621,3,19805,2017-04-22,30466,32457,596,AA,PHX,"Phoenix, AZ",AZ,SJC,"San Jose, CA",CA,,-6
1463,4,1120,8,6,77,377,2,19393,2017-04-20,30721,30852,1497,WN,MHT,"Manchester, NH",NH,BWI,"Baltimore, MD",MD,,-17
1464,3,600,16,5,98,480,2,20304,2017-04-19,33192,33570,3391,OO,SMF,"Sacramento, CA",CA,SAN,"San Diego, CA",CA,,3
1466,4,615,10,4,66,342,2,19393,2017-04-27,33316,31123,1779,WN,OMA,"Omaha, NE",NE,STL,"St. Louis, MO",MO,,-13
1467,3,1932,19,5,146,837,4,19977,2017-04-26,30977,33495,1868,UA,ORD,"Chicago, IL",IL,MSY,"New Orleans, LA",LA,,-4
1468,2,1400,9,3,61,261,2,19930,2017-04-04,31517,30299,55,AS,FAI,"Fairbanks, AK",AK,ANC,"Anchorage, AK",AK,,-6
1469,4,1916,11,11,181,997,4,20409,2017-04-20,33195,31703,2074,B6,TPA,"Tampa, FL",FL,EWR,"Newark, NJ",NJ,,47
1470,7,1255,16,7,118,731,3,19805,2017-04-09,30194,30397,1711,AA,DFW,"Dallas/Fort Worth, TX",TX,ATL,"Atlanta, GA",GA,,-11
1471,4,1620,14,5,109,474,2,20409,2017-04-06,30721,34524,1281,B6,BOS,"Boston, MA",MA,RIC,"Richmond, VA",VA,,30
1472,3,2000,15,11,122,678,3,19805,2017-04-26,34100,30977,1328,AA,PHL,"Philadelphia, PA",PA,ORD,"Chicago, IL",IL,,265
1473,3,1840,19,7,383,"2,717",11,19930,2017-04-26,32467,30559,35,AS,FLL,"Fort Lauderdale, FL",FL,SEA,"Seattle, WA",WA,,-3
1474,3,2026,14,17,72,255,2,19805,2017-04-05,30466,32211,626,AA,PHX,"Phoenix, AZ",AZ,LAS,"Las Vegas, NV",NV,,57
1475,6,600,12,6,73,399,2,20409,2017-04-22,30852,30721,1790,B6,DCA,"Washington, DC",VA,BOS,"Boston, MA",MA,,-18
1476,1,1245,8,6,82,391,2,19393,2017-04-10,30325,34614,952,WN,DEN,"Denver, CO",CO,SLC,"Salt Lake City, UT",UT,,22
1477,4,815,14,8,221,"1,448",6,19930,2017-04-13,30299,30559,104,AS,ANC,"Anchorage, AK",AK,SEA,"Seattle, WA",WA,,11
1478,5,740,18,5,144,908,4,20304,2017-04-21,30559,34689,3434,OO,SEA,"Seattle, WA",WA,SBA,"Santa Barbara, CA",CA,,-13
1480,7,600,16,14,384,"2,565",11,19977,2017-04-02,31703,32457,1483,UA,EWR,"Newark, NJ",NJ,SFO,"San Francisco, CA",CA,,-3
1481,2,830,17,8,62,152,1,19790,2017-04-11,35412,30397,1601,DL,TYS,"Knoxville, TN",TN,ATL,"Atlanta, GA",GA,,-14
1483,7,1528,17,7,134,689,3,20304,2017-04-23,34614,30559,3443,OO,SLC,"Salt Lake City, UT",UT,SEA,"Seattle, WA",WA,,6
1484,5,1650,56,10,103,199,1,20366,2017-04-14,30852,31703,4372,EV,DCA,"Washington, DC",VA,EWR,"Newark, NJ",NJ,,17
1485,7,2240,18,3,287,"2,370",10,19805,2017-04-16,33570,34100,654,AA,SAN,"San Diego, CA",CA,PHL,"Philadelphia, PA",PA,,-23
1486,3,1100,24,4,80,337,2,20304,2017-04-12,32575,32457,4908,OO,LAX,"Los Angeles, CA",CA,SFO,"San Francisco, CA",CA,,61
1487,5,1055,10,14,146,846,4,19393,2017-04-14,30325,32575,4419,WN,DEN,"Denver, CO",CO,SNA,"Santa Ana, CA",CA,,-5
1488,6,1710,11,4,101,677,3,19393,2017-04-01,30615,31453,528,WN,ELP,"El Paso, TX",TX,HOU,"Houston, TX",TX,,-6
1489,5,515,13,7,174,"1,182",5,20416,2017-04-07,30977,32467,409,NK,ORD,"Chicago, IL",IL,FLL,"Fort Lauderdale, FL",FL,,20
1490,4,713,11,8,160,"1,026",5,20416,2017-04-20,32467,30647,516,NK,FLL,"Fort Lauderdale, FL",FL,CAK,"Akron, OH",OH,,3
1492,6,1455,9,5,130,928,4,19393,2017-04-29,30423,33195,4139,WN,AUS,"Austin, TX",TX,TPA,"Tampa, FL",FL,,-10
1493,2,1225,20,5,97,521,3,20304,2017-04-25,34252,34614,4774,OO,PSC,"Pasco/Kennewick/Richland, WA",WA,SLC,"Salt Lake City, UT",UT,,-15
1494,1,815,14,7,47,113,1,20304,2017-04-10,30469,31295,4695,OO,AZO,"Kalamazoo, MI",MI,DTW,"Detroit, MI",MI,,-27
1495,4,1940,11,6,175,"1,028",5,20409,2017-04-27,34027,31703,54,B6,PBI,"West Palm Beach/Palm Beach, FL",FL,JFK,"New York, NY",NY,,197
1496,1,838,27,4,73,199,1,20366,2017-04-17,31703,30852,3810,EV,EWR,"Newark, NJ",NJ,DCA,"Washington, DC",VA,,-8
1497,6,1315,10,4,59,251,2,19393,2017-04-08,30977,31123,6462,WN,MDW,"Chicago, IL",IL,STL,"St. Louis, MO",MO,,-7
1499,2,1320,16,39,184,946,4,20409,2017-04-25,30721,30397,697,B6,BOS,"Boston, MA",MA,ATL,"Atlanta, GA",GA,,-1
1500,5,1900,14,10,352,"2,454",10,19977,2017-04-14,31703,32575,1871,UA,EWR,"Newark, NJ",NJ,LAX,"Los Angeles, CA",CA,,295
1502,1,731,12,5,76,373,2,19790,2017-04-10,30397,33105,1148,DL,ATL,"Atlanta, GA",GA,CVG,"Cincinnati, OH",KY,,-10
1503,1,1613,7,5,39,100,1,19690,2017-04-10,33830,32134,335,HA,OGG,"Kahului, HI",HI,HNL,"Honolulu, HI",HI,,1
1504,2,1850,16,11,128,783,4,19977,2017-04-25,30977,30529,442,UA,ORD,"Chicago, IL",IL,BDL,"Hartford, CT",CT,,6
1505,5,600,26,13,118,501,3,20304,2017-04-07,33290,30977,2956,OO,MHK,"Manhattan/Ft. Riley, KS",KS,ORD,"Chicago, IL",IL,,8
1506,2,1715,13,24,124,576,3,20304,2017-04-25,32389,30325,5708,OO,ISN,"Williston, ND",ND,DEN,"Denver, CO",CO,,-1
1507,5,1755,67,11,187,888,4,20436,2017-04-28,30325,30977,1282,F9,DEN,"Denver, CO",CO,ORD,"Chicago, IL",IL,,28
1508,3,715,21,7,102,369,2,20416,2017-04-12,30721,30852,667,NK,BOS,"Boston, MA",MA,BWI,"Baltimore, MD",MD,,20
1509,3,1725,14,12,106,550,3,19805,2017-04-05,31123,30194,2190,AA,STL,"St. Louis, MO",MO,DFW,"Dallas/Fort Worth, TX",TX,,18
1510,1,1605,16,3,59,196,1,19805,2017-04-24,34100,30529,2072,AA,PHL,"Philadelphia, PA",PA,BDL,"Hartford, CT",CT,,-22
1511,7,1700,7,4,117,781,4,19393,2017-04-09,31453,33195,6648,WN,HOU,"Houston, TX",TX,TPA,"Tampa, FL",FL,,53
1512,7,1005,29,4,81,238,1,20366,2017-04-30,30397,30731,5284,EV,ATL,"Atlanta, GA",GA,BQK,"Brunswick, GA",GA,,3
1513,4,1300,11,16,129,813,4,19805,2017-04-20,30436,30194,1206,AA,TUS,"Tucson, AZ",AZ,DFW,"Dallas/Fort Worth, TX",TX,,-10
1515,3,1710,9,14,117,689,3,19790,2017-04-19,31453,30397,1683,DL,IAH,"Houston, TX",TX,ATL,"Atlanta, GA",GA,,-8
1516,2,1600,17,19,114,502,3,20416,2017-04-11,31295,31703,347,NK,DTW,"Detroit, MI",MI,LGA,"New York, NY",NY,,-4
1517,3,1745,14,21,205,"1,276",6,19805,2017-04-12,31650,30466,2519,AA,MSP,"Minneapolis, MN",MN,PHX,"Phoenix, AZ",AZ,,-4
1518,4,1930,33,8,183,911,4,20304,2017-04-20,30977,30189,5351,OO,ORD,"Chicago, IL",IL,COS,"Colorado Springs, CO",CO,,153
1519,1,1537,23,7,71,192,1,19805,2017-04-17,31454,32467,56,AA,MCO,"Orlando, FL",FL,MIA,"Miami, FL",FL,,4
1521,6,2125,17,7,312,"2,584",11,19977,2017-04-08,32457,32467,449,UA,SFO,"San Francisco, CA",CA,FLL,"Fort Lauderdale, FL",FL,,11
1522,2,2122,16,15,298,"1,947",8,19790,2017-04-25,30397,32575,1128,DL,ATL,"Atlanta, GA",GA,LAX,"Los Angeles, CA",CA,,2
1523,2,1005,10,5,76,392,2,19393,2017-04-18,31123,30928,377,WN,STL,"St. Louis, MO",MO,ICT,"Wichita, KS",KS,,-7
1524,5,1540,17,4,259,"1,749",7,19790,2017-04-14,31295,32211,300,DL,DTW,"Detroit, MI",MI,LAS,"Las Vegas, NV",NV,,-7
1525,3,550,12,18,96,369,2,20409,2017-04-12,30721,30852,727,B6,BOS,"Boston, MA",MA,BWI,"Baltimore, MD",MD,,-7
1526,4,1745,15,14,233,"1,522",7,19790,2017-04-27,31650,32575,1782,DL,MSP,"Minneapolis, MN",MN,SNA,"Santa Ana, CA",CA,,-19
1527,7,1330,28,4,220,"1,250",6,20304,2017-04-23,30977,34614,3049,OO,ORD,"Chicago, IL",IL,SLC,"Salt Lake City, UT",UT,,6
1528,2,1955,23,4,96,369,2,19393,2017-04-11,30721,30852,1749,WN,BOS,"Boston, MA",MA,BWI,"Baltimore, MD",MD,,-9
1530,5,1740,11,6,92,533,3,19393,2017-04-14,33198,30325,4595,WN,MCI,"Kansas City, MO",MO,DEN,"Denver, CO",CO,,3
1531,5,1225,11,7,103,563,3,20366,2017-04-14,30647,30721,4267,EV,CLE,"Cleveland, OH",OH,BOS,"Boston, MA",MA,,-12
1532,7,2200,15,5,269,"2,288",10,19977,2017-04-09,32575,30852,784,UA,LAX,"Los Angeles, CA",CA,IAD,"Washington, DC",VA,,-12
1533,3,1457,19,4,131,782,4,19790,2017-04-19,30397,30928,2567,DL,ATL,"Atlanta, GA",GA,ICT,"Wichita, KS",KS,,-24
1534,7,1940,9,4,139,946,4,20409,2017-04-30,30397,30721,796,B6,ATL,"Atlanta, GA",GA,BOS,"Boston, MA",MA,,-28
1535,5,1450,11,3,113,706,3,19393,2017-04-14,33214,33198,1525,WN,SAT,"San Antonio, TX",TX,MCI,"Kansas City, MO",MO,,-4
1536,4,1500,14,4,102,547,3,19790,2017-04-27,30852,30397,151,DL,DCA,"Washington, DC",VA,ATL,"Atlanta, GA",GA,,-21
1537,5,1435,13,6,74,237,1,19805,2017-04-21,30194,34653,2665,AA,DFW,"Dallas/Fort Worth, TX",TX,TUL,"Tulsa, OK",OK,,22
1538,7,1030,14,6,53,200,1,20409,2017-04-30,31703,30721,2380,B6,EWR,"Newark, NJ",NJ,BOS,"Boston, MA",MA,,-17
1539,2,1459,16,6,227,"1,726",7,19805,2017-04-11,32575,30977,1163,AA,SNA,"Santa Ana, CA",CA,ORD,"Chicago, IL",IL,,-23
1540,4,1230,12,4,107,826,4,19977,2017-04-20,30325,33485,1193,UA,DEN,"Denver, CO",CO,MSN,"Madison, WI",WI,,-19
1541,2,1305,9,4,188,"1,416",6,19790,2017-04-11,31650,31714,1727,DL,MSP,"Minneapolis, MN",MN,RSW,"Fort Myers, FL",FL,,-24
1542,6,610,9,7,168,"1,209",5,19393,2017-04-08,30194,30852,2047,WN,DAL,"Dallas, TX",TX,BWI,"Baltimore, MD",MD,,-5
1543,2,1520,17,8,214,"1,590",7,20436,2017-04-11,34614,30397,1544,F9,SLC,"Salt Lake City, UT",UT,ATL,"Atlanta, GA",GA,,-5
1544,1,625,12,10,271,"2,172",9,19790,2017-04-24,34057,30397,1156,DL,PDX,"Portland, OR",OR,ATL,"Atlanta, GA",GA,,-10
1545,3,835,35,5,154,813,4,19790,2017-04-12,30397,30423,1868,DL,ATL,"Atlanta, GA",GA,AUS,"Austin, TX",TX,,-3
1546,4,1355,5,5,127,957,4,19393,2017-04-20,32457,30325,4339,WN,OAK,"Oakland, CA",CA,DEN,"Denver, CO",CO,,39
1548,2,1430,13,4,62,270,2,19790,2017-04-04,30397,31136,1416,DL,ATL,"Atlanta, GA",GA,JAX,"Jacksonville, FL",FL,,-8
1549,1,1615,18,7,277,"2,182",9,19930,2017-04-10,30559,30397,750,AS,SEA,"Seattle, WA",WA,ATL,"Atlanta, GA",GA,,-12
1550,2,1810,14,11,259,"1,744",7,19977,2017-04-11,30977,32575,617,UA,ORD,"Chicago, IL",IL,LAX,"Los Angeles, CA",CA,,-18
1551,6,1635,13,10,141,834,4,19930,2017-04-15,34057,32575,570,AS,PDX,"Portland, OR",OR,LAX,"Los Angeles, CA",CA,,1
1552,3,1220,19,6,104,602,3,19393,2017-04-26,30466,30325,1539,WN,PHX,"Phoenix, AZ",AZ,DEN,"Denver, CO",CO,,16
1553,1,841,9,6,161,"1,062",5,19977,2017-04-03,33495,30325,295,UA,MSY,"New Orleans, LA",LA,DEN,"Denver, CO",CO,,-13
1554,6,1132,17,4,107,594,3,19790,2017-04-22,30397,32467,1781,DL,ATL,"Atlanta, GA",GA,MIA,"Miami, FL",FL,,-11
1555,6,1210,20,5,94,480,2,20304,2017-04-15,33570,33192,3342,OO,SAN,"San Diego, CA",CA,SMF,"Sacramento, CA",CA,,8
1557,2,2205,7,6,62,314,2,19393,2017-04-11,30852,30647,608,WN,BWI,"Baltimore, MD",MD,CLE,"Cleveland, OH",OH,,-17
1558,3,1123,11,4,51,214,1,19790,2017-04-12,30397,30693,1412,DL,ATL,"Atlanta, GA",GA,BNA,"Nashville, TN",TN,,-17
1560,4,645,6,6,156,"1,073",5,19393,2017-04-27,30257,31454,117,WN,ALB,"Albany, NY",NY,MCO,"Orlando, FL",FL,,-25
1561,5,2050,13,18,157,954,4,19930,2017-04-21,30559,32575,412,AS,SEA,"Seattle, WA",WA,LAX,"Los Angeles, CA",CA,,41
1562,5,550,12,8,150,"1,024",5,19393,2017-04-21,30559,30325,1659,WN,SEA,"Seattle, WA",WA,DEN,"Denver, CO",CO,,-7
1563,3,2320,13,4,225,"1,721",7,19977,2017-04-26,30559,30977,619,UA,SEA,"Seattle, WA",WA,ORD,"Chicago, IL",IL,,28
1564,1,850,29,5,181,"1,023",5,20409,2017-04-24,31703,34027,643,B6,EWR,"Newark, NJ",NJ,PBI,"West Palm Beach/Palm Beach, FL",FL,,-10
1565,4,1400,8,3,84,446,2,19393,2017-04-06,33570,32457,506,WN,SAN,"San Diego, CA",CA,OAK,"Oakland, CA",CA,,2
1566,1,1411,7,6,71,295,2,20366,2017-04-24,31205,30194,2794,EV,LCH,"Lake Charles, LA",LA,DFW,"Dallas/Fort Worth, TX",TX,,-7
1567,2,1847,10,4,71,301,2,20409,2017-04-18,30792,31703,2701,B6,BUF,"Buffalo, NY",NY,JFK,"New York, NY",NY,,65
1568,2,1240,15,8,114,679,3,19930,2017-04-11,32457,30559,307,AS,SFO,"San Francisco, CA",CA,SEA,"Seattle, WA",WA,,-14
1570,1,545,10,7,89,484,2,19790,2017-04-03,31123,30397,1179,DL,STL,"St. Louis, MO",MO,ATL,"Atlanta, GA",GA,,-9
1572,2,1745,8,6,110,571,3,19393,2017-04-18,31481,31453,1514,WN,ECP,"Panama City, FL",FL,HOU,"Houston, TX",TX,,-7
1573,6,1859,16,20,333,"2,218",9,19805,2017-04-08,31454,32575,178,AA,MCO,"Orlando, FL",FL,LAX,"Los Angeles, CA",CA,,-14
1574,2,1905,8,6,81,484,2,19790,2017-04-04,31123,30397,2192,DL,STL,"St. Louis, MO",MO,ATL,"Atlanta, GA",GA,,-9
1576,4,1030,31,9,202,"1,013",5,19805,2017-04-06,34100,32467,2051,AA,PHL,"Philadelphia, PA",PA,MIA,"Miami, FL",FL,,27
